row_number,Unnamed: 0_x,name,speech,session,id,Unnamed: 0_y,symbol,quarter,time,title,year
0,1044,Operator,"[""Greetings, and welcome to Nutrien's 2021 First Quarter Earnings Call. [Operator Instructions] As a reminder, this conference is being recorded. I would now like to turn the conference over to Richard Downey, VP of Investor Relations.""]",management_discussion,NTR.TO_208023,23,NTR.TO,1,2021-05-04 10:01:01,NTR.TO - Earnings call Q1 2021,2021
1,1045,Richard  Downey,"[""Thank you, operator. Good morning, everyone, and welcome to Nutrien's conference call to discuss our first quarter 2021 results and outlook. On the call with us today is Mr. Mayo Schmidt, President and CEO of Nutrien; Mr. Pedro Farah; our CFO; as well as our heads of our business units and other key members of our team. As we discuss this conference call, various statements we make about future expectations, plans and prospects contain forward-looking information. Certain material assumptions were applied in making these conclusions and forecasts. Therefore, actual results could differ materially from those contained in our forward-looking information. Additional information about these factors and assumptions are contained in our current quarterly report to our shareholder as well as our most recent annual report, MD&A and annual information form filed with Canadian and U.S. security commissions, to which we direct you.I will now turn the call over to Mr. Mayo Schmidt.""]",management_discussion,NTR.TO_208023,23,NTR.TO,1,2021-05-04 10:01:01,NTR.TO - Earnings call Q1 2021,2021
2,1046,Mayo M. Schmidt,"[""Thank you, Richard, and good morning. I want to thank you for joining the Nutrien team today as we share news of our exceptional results and strong outlook. Nutrien has a portfolio of integrated and related businesses that provide competitive advantages. Our team is excited to execute our long-term and Board-approved strategy. This includes our 2023 financial and operational targets as well as our recently unveiled ESG targets and commitments. We are dedicated to growing Nutrien through superior operational performance and focused capital allocation to create shareholder value. The very tight global supply and demand growth has led to strong pricing across virtually all crops, and we anticipate a tight supply and demand environment continuing through 2021 and beyond. As we speak today, growers are responding by increasing seeded acreage and are focused on maximizing yields. It's really an exciting time to be in agriculture, and as the world's largest provider of crop inputs and services, we are also helping growers meet increasing global food demands. We're focused on the challenges of ensuring food security, safety and climate action. We recently issued our new ESG report highlighting how Nutrien will focus on helping to transform the agriculture industry with 3 priority areas: feeding the planet sustainably, environment and climate action and inclusive agriculture. We will be hosting a detailed review of our priorities, key commitments and targets as well as our market-leading carbon program at our ESG update in June.Now turning to our first quarter results and outlook. We delivered excellent performance across all our business units. Our outlook for the second quarter is very positive as field work and seeding are progressing very well, and our expectations are for higher acreage in North America. As the largest ag retailer in multiple countries, we are seeing firsthand strong interest of growers to maximize yields, and we are fully prepared to serve them with our broad selection of crop inputs and services. Our service offering includes our leading proprietary products, our direct producer relationships while fielding more than 3,600 agronomists globally, an input financing program and our investments in innovative digital tools. Our Nutrien Ag Solutions retail business delivered a record first quarter adjusted EBITDA of $109 million due to strong margins across virtually all product lines and geographies. Retail sales increased 12% year-over-year, and gross margins rose to 22%. Fertilizer margins were strengthened by the rapid rise in prices this quarter, although margins are expected to normalize in the second quarter as retail's more recent fertilizer purchases have been made at higher levels. U.S. crop nutrient volumes were up just over 10% year-over-year while total retail volumes were up 20% and gross margin per tonne was nearly $15 per tonne higher. Crop protection margins in all geographies demonstrated year-over-year improvement this quarter. The market has been fairly tight for certain products and regions due to the combination of the February freeze impacting production in the U.S., strong global demand and recent logistical bottlenecks, both international and domestic. However, due to the strength of our supply chain, Nutrien Ag Solutions is well positioned with product availability for our growers' requirements for the season. We also reported improvements across our retail metrics this quarter. Total retail adjusted EBITDA to sales surpassed 10% and was over 11% in the U.S. while adjusted EBITDA per U.S. selling location increased to over $1.1 million. Retail lowered their cash operating coverage ratio to 60%. We continue to see impressive performance and utilization of our digital ag platform, all metrics showing significant year-over-year improvement. In potash, our business continues to build momentum with near-record sales volumes in the North American market for the first quarter and solid demand internationally. Ken Seitz and the potash team are optimizing production across our 6 mines and progressing automated mining projects that will together improve safety performance, lower cost and further reduce our carbon footprint. Our cash cost of production was lower by about $3 per tonne compared to the first quarter of last year despite an increase in the value of the Canadian dollar. We achieved significantly higher potash sales volumes this quarter despite the extremely cold weather in February, which slowed logistics and deferred offshore shipments, shifting about 300,000 tonnes of our planned international sales into the balance of 2021. Demand for our nitrogen products remained strong across North America, with prices rising rapidly during the quarter. Raef Sully and his team delivered strong operating results, achieving a 97% North American ammonia operating rate despite downtime due to extreme cold weather events in February. Sales volumes decreased year-over-year due to the lower starting inventories due to a robust fall season in 2020 and reduced production in Trinidad. Our phosphate operations posted a strong quarter with $97 million in EBITDA due to higher realized prices. We do expect margins to temper going forward as costs rise from the much stronger sulfur and ammonia prices.Now turning to the outlook. New crop corn and soybean prices and the cash margins are approximately 60% higher than this time last year while spot prices have approximately doubled. The rally in crop prices highlights the tightness in global supply and demand balances and the sensitivity to any potential supply risk in 2021. Retail has experienced excellent demand for products and services, and the mood amongst growers is very positive. We believe the final seeded acreage for corn and soybeans could be about 4 million acres higher than the USDA March intentions report. Even at a higher U.S. seeded acreage, we expect to see a continuation of tight stocks-to-use ratios and strong crop prices in the next year. We have increased our annual EBITDA guidance by $400 million to $4.4 billion to $4.9 billion in 2021. The increase is across all business units, supported by continued strength in crop and fertilizer prices and a very positive outlook for potash in the second half of the year. We believe the potash inventories in the major global markets remain low for this time of year and that global demand will be 68 million to 70 million metric tonnes. We're expecting as much as a 20% increase in potash imports in Indonesia and Malaysia this year, exceptional demand in North America and continued growth in South America and Asia. Canpotex is fully committed on volumes into September and anticipates it will gain market share in the higher netback regions outside of China and India. The recent increase in the Baltic dry freight index is expected to have minor impact on our offshore potash netbacks. Year-over-year, ocean freight rates are approximately $20 per tonne higher. We anticipate the impact to our international potash netbacks will be less than $10 per tonne in 2021 due to Canpotex long-term freight arrangements. We anticipate North American nitrogen and phosphate prices will remain firm through the application season. Our realized nitrogen prices in the second quarter will be supported by the higher proportion of ag-related sales. We expect typical summer seasonal pricing and some moderation in nitrogen prices in the second half of the year due to an increase in global urea export availability from China and some new capacity coming onstream globally. However, we continue to be constructive on the nitrogen market outlook for the medium and long term.In closing, we believe agriculture fundamentals have positive momentum and Nutrien is exceptionally well positioned to benefit from the multiyear strength expected in crop and fertilizer markets. We also see great opportunity to demonstrate and benefit from our commitment to delivering products, technologies and services to ensure we can collectively feed the planet more sustainably. We're uniquely advantaged to collaborate with growers and industry partners to launch and scale a comprehensive carbon program that has the potential to accelerate climate-smart agriculture. The interest in the program is apparent as we're oversubscribed for our 2021 farm pilots.Before we begin the question-and-answer portion of all, I'd like to thank Chuck Magro on behalf of employees, customers and shareholders for his contribution over the past 11 years and do wish him success with his next steps. With that, operator, I'd like to open the call to questions for our leadership team here today.""]",management_discussion,NTR.TO_208023,23,NTR.TO,1,2021-05-04 10:01:01,NTR.TO - Earnings call Q1 2021,2021
3,1047,Operator,['[Operator Instructions] Your first question comes from Steve Byrne from Bank of America.'],question_answer,NTR.TO_208023,23,NTR.TO,1,2021-05-04 10:01:01,NTR.TO - Earnings call Q1 2021,2021
4,1048,Steve  Byrne,['Just following up on the last comment about Chuck Magro. Any comments on why Chuck left? Or does this represent any change in the direction of Nutrien?'],question_answer,NTR.TO_208023,23,NTR.TO,1,2021-05-04 10:01:01,NTR.TO - Earnings call Q1 2021,2021
5,1049,Mayo M. Schmidt,"[""Well, thanks for that question. The Board of Directors and Chuck mutually agreed that Chuck step down after a decade of strong leadership, and it was my honor to accept the role of President and CEO for Nutrien. Regarding the Nutrien strategy, certainly, I had a front-row seat in developing and working with the team as Chairman of the Board with an aspect of driving industry performance across all our business lines. I might also mention that when we go back to the value that's been created through the MOE, the merger of equals, with PotashCorp, I headed that committee from a Board level. So it was really, I think, the Board's thinking about combination of history and building value and focus on an existing strategy and taking the business to the next level.""]",question_answer,NTR.TO_208023,23,NTR.TO,1,2021-05-04 10:01:01,NTR.TO - Earnings call Q1 2021,2021
6,1050,Operator,['Your next question comes from the line of Ben Isaacson with Scotiabank.'],question_answer,NTR.TO_208023,23,NTR.TO,1,2021-05-04 10:01:01,NTR.TO - Earnings call Q1 2021,2021
7,1051,Benjamin  Isaacson,"[""Maybe a question for Jason Newton, if he's there. Potash demand has been very, very strong so far this spring, and there's some concern that despite strong crop economics, demand may be getting pulled from the fall and even from the spring of next year. Can you address that, please?""]",question_answer,NTR.TO_208023,23,NTR.TO,1,2021-05-04 10:01:01,NTR.TO - Earnings call Q1 2021,2021
8,1052,Jason  Newton,"[""Sure. Ben, I think we've seen really a couple of consecutive really strong application seasons in the U.S., starting with last fall, with really ideal weather and then continued strength and demand this spring. If you look at where affordability is, potash prices remain very attractive relative to where crop prices are, still well below average from an index relative to corn costs, and we see that supporting demand. And I think as we look toward the summer fill period, which leads into the fall of 2021, I think there's already interest building for summer fill, and we expect that the inventories through the supply chain will be relatively low once we get to end of the spring planting season. We know that as we look toward the fall, weather is really important, but the crop is getting in the ground at a good pace, which sets up well for the growing season. And then as we get into next year, we think the supply/demand fundamentals in major crops continues to look strong, which should be supportive of continued strength in crop prices and affordability in the spring of 2022, which should continue to support high levels of application rates and demand.""]",question_answer,NTR.TO_208023,23,NTR.TO,1,2021-05-04 10:01:01,NTR.TO - Earnings call Q1 2021,2021
9,1053,Operator,['[Operator Instructions] Your next question comes from the line of Adam Samuelson with Goldman Sachs.Your next question comes from the line of Andrew Wong with RBC Capital Markets.'],question_answer,NTR.TO_208023,23,NTR.TO,1,2021-05-04 10:01:01,NTR.TO - Earnings call Q1 2021,2021
