row_number,Unnamed: 0_x,name,speech,session,id,Unnamed: 0_y,symbol,quarter,time,title,year
0,2657,Operator,"['Greetings, and welcome to the Nutrien Fourth Quarter 2017 Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded.It is now my pleasure to introduce your host Richard Downey, Vice President, Investor and Corporate Relations. Thank you, sir. You may begin.']",management_discussion,NTR.TO_208091,54,NTR.TO,4,2018-02-06 10:01:01,NTR.TO - Earnings call Q4 2017,2017
1,2658,Richard Downey,"[""Thank you, Operator. Good morning, everyone, and welcome to Nutrien's first investor conference call to discuss the results and outlook. On the phone with us today is Mr. Chuck Magro, President and CEO of Nutrien; Mr. Wayne Brownlee, our CFO; and the Heads of our 4 business units.As we conduct this conference call, various statements that we make about future expectations, plans and prospects contain forward-looking information. Certain material assumptions were applied in making these conclusions and forecasts; therefore, actual results could differ materially from those contained in our forward-looking information.Additional information about these factors and assumptions are contained in our current quarterly report to our shareholders as well as our most recent annual report, MD&A and annual information form filed with Canadian and US security commissions to which we direct you.I will now turn the call over to Mr. Chuck Magro.""]",management_discussion,NTR.TO_208091,54,NTR.TO,4,2018-02-06 10:01:01,NTR.TO - Earnings call Q4 2017,2017
2,2659,Chuck Magro,"[""Thanks, Richard. Good morning, everyone, and welcome to our first earnings call as Nutrien. Today we will recap the fourth quarter and the full year performance of our legacy companies and provide insight into how we see the market unfolding in 2018. I would also like to share my thoughts on the strategic priorities for Nutrien, our financial guidance for the year and additional details on our synergy targets.I'm excited for the future of Nutrien. I believe we have a tremendous opportunity ahead of us and our goal is to ensure we deliver on those opportunities and exceed the expectations of all of our stakeholders.First, let's talk about our legacy company's results and Nutrient pro forma. The strength of our global Retail business was evident again this quarter. We achieved record Retail EBITDA, driven by strong sales and higher margins across our entire portfolio of crop inputs and services.For the full year, Retail EBITDA rose to $1.2 billion, an 8% increase over the previous year. This growth was supported by higher proprietary product sales, a continued focus on operational excellence initiatives and contributions from acquisitions. As a result, we delivered further improvement on all Retail operational metrics in 2017. For example, our cash operating coverage ratio declined to 60% and our EBITDA to sales ratio increased to 10%, while our normalized comparable store sales increased by 2%. As such, the majority of our Retail targets set for 2020 have now been met or exceeded.It's worth highlighting that our Australian Retail operations achieved record EBITDA of $154 million this year, up 26% over last year and more than double the EBITDA in 2012. Our EBITDA margins for Landmark reached 8.8% this year compared with just 3.6% in 2012.Fourth quarter performance for the legacy Agrium wholesale business benefited from strong potash results, but was impacted by lower production and sales volumes in both nitrogen and phosphate. Overall, Agrium generated $1.6 billion in cash from operations during the fourth quarter and $1.3 billion for the year, supported by our integrated business structure. And this is a testament of our operating model strength.Turning to the legacy PotashCorp results. The fourth quarter continued the trend of improved year-over-year performance for the Potash business due to higher realized potash prices and lower cost. For the full year, PotashCorp benefited from significantly improved global market conditions as our average realized potash price increased 11% and sales volumes rose by 8%, and importantly, our cash cost per tonne declined by 13% in 2017, a direct result of portfolio optimization decisions taken over the past 2 years.This included the ramp-up of our expanded Rocanville potash mine, the largest and one of the lowest cost mines in the world. Cash cost for this mine were around $50 per tonne in 2017 based on production of nearly 5 million tonnes.Nitrogen margins during the fourth quarter were supported by improved market conditions and an increase in global benchmark prices for both ammonia and urea.Phosphate results for the quarter were impacted by non-cash impairment charges totaling $276 million at our White Springs and feed phosphate facilities.PotashCorp's adjusted earnings totaled $59 million for the quarter and $455 million for the year and were supported by improved Potash segment results. Cash from operating activities totaled $1.2 billion for the year, which was in line with last year.Nutrien will release pro forma historical financial information later this month, but to give you a high level sense for performance this year, our adjusted combined EBITDA totaled approximately $2.9 billion and combined cash flow from operating activities was $2.5 billion. This was achieved in a year that we believe represents a relative low point in the crop nutrient cycle and does not include the $0.5 billion in future merger synergies.With more than 25 million tonnes of primary crop nutrient sales, Nutrien is well positioned to benefit from the recovery in the fertilizer markets in the next couple of years.In terms of the contribution by business segment, Retail accounted for 36% of the total EBITDA, with Potash contributing 33%, Nitrogen around 1/4 and Phosphate the reminder. All together we invested $1 billion in sustaining capital to maintain our assets, which still provided significant free cash flow to return to shareholders and continued to grow our Retail business.Before I speak about our 2018 guidance and strategic priorities, I would like to touch on the outlook of our markets. The 2017-2018 crop year will mark yet another year of above trend yields for global grains and oilseed production. While this has contributed to more modest crop price environment, it has also supported significant growth in global consumption. In fact global demand has grown at an annualized rate of 2.7% over the past 5 years, which is the highest 5-year growth period since the early 1980s.In simple terms, this robust agricultural growth story has translated into greater demand for crop inputs, services and solutions. For the upcoming North American planting season, we expect relatively stable acreage of most major crops and application rates of crop input similar to last year. This should be supported by North American grower crop margins, which are above last year's levels.Our Retail business has collected grower prepay of over $1.5 billion, which is in line with last year and an indication of solid anticipated spend this spring. We anticipate the crop protection product market to be firm this year, with price appreciation for some products such as glyphosates and generic products, which is partially associated with higher production cost in China.The feed market is expected to remain flat in 2018 as price appreciation on technologies is expected to offset some competitive price pressure due to relatively low crop prices.In potash, we are seeing strong customer engagement and steady to higher prices to begin 2018. Global potash shipments set a new record of approximately 64 million tonnes in 2017, which was driven by strong consumption growth in all major offshore markets. Potash remains highly affordable, and with relatively low inventories across the supply chain, we forecast global potash shipments between 64 and 66 million tonnes in 2018.Canpotex had a record year in 2017 and is actively filling its order book as the growing season approaches in several key agricultural regions. We had a positive response to our domestic winter fill program announced in early January and are fully committed through the first quarter with orders taken at prices up $20 per tonnes for the second quarter deliveries.We expect new greenfield potash capacity will enter the market this year, but anticipate the amount of actual supply in 2018 will be limited by typical ramp-up issues, as well as announced mine closures and product mix changes by some producers. Therefore, we see a relatively favorable environment for potash well into 2018 as supported by the recent price increases in several markets.Turning to Nitrogen, prices remain firm in the early part of 2018, with benchmark prices up between 15% to 40% from the fourth quarter 2017. Chinese production rates have been cut back by ongoing regulatory pressure that includes reduced natural gas availability, significantly higher natural gas prices and continued strength in coal. We view these changes as a more structural shift and anticipate lower exports from Chinese urea producers moving forward.North American nitrogen demand is expected to be relatively stable in 2018 and the ongoing ramp-up of new domestic capacity will further reduce dependence on offshore imports. However, due to the slow pace of imports and large offshore exports over the past 6 months, we expect relatively tight supply in North America between now and the spring application season.Overall, we anticipate an improved nitrogen market compared to 2017 based on the expectations for higher global energy prices, lower Chinese exports and demand growth absorbing recent capacity additions.We expect higher sales volumes for potash in 2018 compared to our 2017 combined total. This is in line with the anticipated growth in global potash demand. We also expect our total nitrogen sales volume to be higher in 2018, which is partially due to higher on-stream time for our plants in North America and Trinidad. Our Trinidad operating rate is expected to be higher in 2018 due to improved gas availability.Based on these market conditions, we announced annual earnings guidance of $2.10 to $2.60 per share in 2018. This excludes incremental depreciation related to purchase price allocation adjustments, share-based payment expenses and synergy implementation cost.The EPS guidance includes equity earnings from SQM and APC for a portion of 2018, but is excluded in the EBITDA guidance. We also provide EBITDA guidance of $3.2 billion to $3.7 billion for 2018.Let's now move on to Nutrien strategic priorities. Over the past months, I've had the opportunity to visit our offices and operating sites and I've been very impressed with the quality of assets in the Nutrien portfolio and the depth of talent within the organization.With this strong foundation in place, the management team and the board will be focused on a few key strategic areas over the next 6 to 12 months. First and foremost, our priority will be delivering our integration plan, which includes capturing $0.5 billion in synergies by the end of 2019.While we are only a month into the process as Nutrien, I can tell you that the extensive work completed over the course of 2017 has allowed us to hit the ground running. Integration teams are in place and each business unit is working towards its synergy plan.In the early stages, we will be focused on capturing synergies in the areas such as procurement, transportation and distribution, operations and finance. In fact over the first month, we've already captured $40 million in run rate synergies and have identified a number of opportunities that reinforces our confidence to deliver on our synergies target. Starting in the first quarter, we will report detailed synergies on a quarterly basis.The second priority is to define strategic areas of focus for each business unit, including a portfolio review of our assets within the first 12 months and the completion of required equity divestment.Many of you will have seen the announcement in January on the divestiture of our 14% stake in ICL. We were very pleased with this outcome, and just to clarify, we received net proceeds of $685 million. We continue to make good progress on the divestiture of the SQM and APC stakes, and based on current market values, we believe the sale of these 3 equity stakes could generate proceeds after tax of between $4.5 billion and $5 billion.We recently announced the acquisition of Agrichem in Brazil and I'm excited about the opportunity in this major growing region of the world. As a leader in Brazilian specialty nutrient market, the Agrichem team and extensive product profile will be an excellent fit with our Loveland products business.Brazil will be a strategic focus for future retail expansion due to its large and growing agricultural retail and crop input market. We will also continue to focus on growing our footprint through tuck-in acquisitions in our existing regions, particularly in North America, and as such, we acquired 44 locations this past year with approximately $300 million in annual synergies and an average EBITDA multiple of just over 7x before synergies.Furthermore, we continue to pursue greenfield location builds in 7 US states. In 2017, 2 locations became operational and we expect construction will be completed on another 6 locations in 2018.Finally, it is a top priority to establish a clear capital allocation policy. Our goal is to maximize shareholder value and you can expect a balance between return of capital to shareholders and growth of the business, while maintaining a strong investment grade rating.We will be in a position to more clearly articulate our plans for returning cash to shareholders in the coming months, but I can tell you our priority will be to pay a stable and growing dividend. We will target a payout that would represent 40% to 60% of our free cash flow through the cycle. In line with previous disclosure, Nutrien's annual dividend is expected to be $1.57 per share, which is well within our targeted payout range and should also allow for future growth.To conclude, Nutrien's integrated business model and unique position within the agricultural landscape provides us with significant levers to create value for our shareholders.With a clear line of sight on $500 million of synergies and significant proceeds expected from the sale of our equity investment, we're coming out of the gate with a strong free cash flow position and a healthy balance sheet. As well the fundamentals for our business have improved and in particular the outlook for potash and nitrogen markets. This affords us with a lot of flexibility to allocate capital effectively and generate excellent shareholder returns.I'm joined today by members of the Nutrien executive leadership team and we would be happy to take your questions. Operator, please go ahead.""]",management_discussion,NTR.TO_208091,54,NTR.TO,4,2018-02-06 10:01:01,NTR.TO - Earnings call Q4 2017,2017
3,2660,Operator,['[Operator Instructions] Our first question comes from the line of Jacob Bout with CIBC.'],question_answer,NTR.TO_208091,54,NTR.TO,4,2018-02-06 10:01:01,NTR.TO - Earnings call Q4 2017,2017
4,2661,Jacob Bout,"['Chuck, you seem pretty confident on the $500 million in synergies. Can you talk about what potentially could drive this higher?']",question_answer,NTR.TO_208091,54,NTR.TO,4,2018-02-06 10:01:01,NTR.TO - Earnings call Q4 2017,2017
5,2662,Chuck Magro,"[""Yes, I'll give you a summary and then I'll have Wayne just talk a little bit about what he's seeing in his area, and maybe Raef Sully, our President of Potash, could talk about what we're doing in potash. But look, we've been at this for well over a year now, and when we look at it, the $500 million of annual synergies, we're very confident about that number. And for 2018, just to set the context, we're expecting $250 million on a run rate basis. And then if you will look at our annual guidance, the number that we expect to deliver for the full year is about $200 million. And in Q1, we've hit the ground running, as I mentioned in my prepared remarks. We're over $40 million on a run rate basis. And we're starting to see areas such as leverage from some of our finance service providers, of course the network optimization when it comes to production specifically around our nitrogen optimization and our potash optimization and then very significant synergies in the supply chain. We're already down 200 railcars in our fleet, we're reducing our warehouse footprint quite rapidly and that's shedding a tremendous amount of cost. But I'll pass it over to Wayne just to talk about some of the procurement synergies and then I will have Raef Sully talk a little bit about potash. Go ahead, Wayne.""]",question_answer,NTR.TO_208091,54,NTR.TO,4,2018-02-06 10:01:01,NTR.TO - Earnings call Q4 2017,2017
6,2663,Wayne R. Brownlee,"[""Jacob, we are on track. We've already reached about $20 million in procurement synergies in the first month, which is a run rate for the course of the year. And we're optimistic that we will find quite a bit more over the course of the year and we'll be well in excess of $100 million by the time we're done, probably closer to $150 million. So that's going very well.""]",question_answer,NTR.TO_208091,54,NTR.TO,4,2018-02-06 10:01:01,NTR.TO - Earnings call Q4 2017,2017
7,2664,Raef M. Sully,"[""Jacob, one of the largest opportunity we have got of course is optimizing our production footprint. As you know, we have got 6 operating mines. There's quite a difference in the cost of production across those 6 mines and we're looking to move production to the lowest cost mines. As Chuck mentioned, Rocanville is down at around $50 dollars a tonne cash cost. We actually think there's probably more room to go on that. We're going to look at trying to ramp it past the 5, 4 mark. We'll head up towards 6 over the next couple of years. And we think that there's a fair bit more than the original $50 million we had tagged for that.""]",question_answer,NTR.TO_208091,54,NTR.TO,4,2018-02-06 10:01:01,NTR.TO - Earnings call Q4 2017,2017
8,2665,Operator,['Our next question comes from the line of Andrew Wong with RBC.'],question_answer,NTR.TO_208091,54,NTR.TO,4,2018-02-06 10:01:01,NTR.TO - Earnings call Q4 2017,2017
9,2666,Andrew Wong,"[""I have a couple of questions, first on the guidance. It looks like there might be some sort of disconnect in the EPS and the EBITDA outlook versus the consensus, and I think you touched on some of those things like the purchase price allocations and the equity and earnings. Could you just maybe help us walk through in more detail what's in the outlook and maybe what the outlook would look like if you included the equity earnings on a full year basis? And then just secondly, if you could provide us an update on the sale of your SQM and Arab Potash stakes?""]",question_answer,NTR.TO_208091,54,NTR.TO,4,2018-02-06 10:01:01,NTR.TO - Earnings call Q4 2017,2017
